Implement;GivenName;LastName;Initials;OfficeName;Description;Mail;StreetAddress;City;PostalCode;State;Country;Company;Department;EmployeeID;ExtensionAttribute1;Title;Phone;ProfilePath;ScriptPath;HomeDirectory;HomeDrive;Password;PasswordNeverExpires;Enabled;TargetOU
Yes;Productiemedewerker 28;;W28;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12372;False;True;OU=Productie
Yes;Productiemedewerker 29;;W29;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12373;False;True;OU=Productie
Yes;Productiemedewerker 30;;W30;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12374;False;True;OU=Productie
Yes;Productiemedewerker 31;;W31;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12375;False;True;OU=Productie
Yes;Productiemedewerker 32;;W32;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12376;False;True;OU=Productie
Yes;Productiemedewerker 33;;W33;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12377;False;True;OU=Productie
Yes;Productiemedewerker 34;;W34;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12378;False;True;OU=Productie
Yes;Productiemedewerker 35;;W35;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12379;False;True;OU=Productie
Yes;Productiemedewerker 36;;W36;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12380;False;True;OU=Productie
Yes;Productiemedewerker 37;;W37;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12381;False;True;OU=Productie
Yes;Productiemedewerker 38;;W38;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12382;False;True;OU=Productie
Yes;Productiemedewerker 39;;W39;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12383;False;True;OU=Productie
Yes;Productiemedewerker 40;;W40;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12384;False;True;OU=Productie
Yes;Productiemedewerker 41;;W41;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12385;False;True;OU=Productie
Yes;Productiemedewerker 42;;W42;Brouwerij;;;;Temse;9140;;Belgium;Moos;Productie;;;;;;;;;sdf12386;False;True;OU=Productie
Yes;Planner 1;;P1;Planning;;;;Temse;9140;;Belgium;Moos;Planning;;;;;;;;;sdf12387;False;True;OU=Planning
Yes;Planner 2;;P2;Planning;;;;Temse;9140;;Belgium;Moos;Planning;;;;;;;;;sdf12388;False;True;OU=Planning
Yes;Planner 3;;P3;Planning;;;;Temse;9140;;Belgium;Moos;Planning;;;;;;;;;sdf12389;False;True;OU=Planning
Yes;Planner 4;;P4;Planning;;;;Temse;9140;;Belgium;Moos;Planning;;;;;;;;;sdf12390;False;True;OU=Planning
Yes;Planner 5;;P5;Planning;;;;Temse;9140;;Belgium;Moos;Planning;;;;;;;;;sdf12391;False;True;OU=Planning
Yes;Planner 6;;P6;Planning;;;;Temse;9140;;Belgium;Moos;Planning;;;;;;;;;sdf12392;False;True;OU=Planning
Yes;Planner 7;;P7;Planning;;;;Temse;9140;;Belgium;Moos;Planning;;;;;;;;;sdf12393;False;True;OU=Planning
Yes;Planner 8;;P8;Planning;;;;Temse;9140;;Belgium;Moos;Planning;;;;;;;;;sdf12394;False;True;OU=Planning
Yes;Planner 9;;P9;Planning;;;;Temse;9140;;Belgium;Moos;Planning;;;;;;;;;sdf12395;False;True;OU=Planning
Yes;Planner 10;;P10;Planning;;;;Temse;9140;;Belgium;Moos;Planning;;;;;;;;;sdf12396;False;True;OU=Planning
Yes;Marketeer 1;;M1;Offices;;;;Temse;9140;;Belgium;Moos;Marketing;;;;;;;;;sdf12397;False;True;OU=Marketing
Yes;Marketeer 2;;M2;Offices;;;;Temse;9140;;Belgium;Moos;Marketing;;;;;;;;;sdf12398;False;True;OU=Marketing
Yes;Marketeer 3;;M3;Offices;;;;Temse;9140;;Belgium;Moos;Marketing;;;;;;;;;sdf12399;False;True;OU=Marketing
Yes;Marketeer 4;;M4;Offices;;;;Temse;9140;;Belgium;Moos;Marketing;;;;;;;;;sdf12400;False;True;OU=Marketing
Yes;Marketeer 5;;M5;Offices;;;;Temse;9140;;Belgium;Moos;Marketing;;;;;;;;;sdf12401;False;True;OU=Marketing
Yes;Secretaresse 1;;S1;Offices;;;;Temse;9140;;Belgium;Moos;;;;;;;;;;;;;
Yes;Onderzoeker 1;;O1;Brouwerij;;;;Temse;9140;;Belgium;Moos;Onderzoek;;;;;;;;;;;;
Yes;Onderzoeker 2;;O2;Brouwerij;;;;Temse;9140;;Belgium;Moos;Onderzoek;;;;;;;;;;;;
Yes;Onderzoeker 3;;O3;Brouwerij;;;;Temse;9140;;Belgium;Moos;Onderzoek;;;;;;;;;;;;
Yes;Onderzoeker 4;;O4;Brouwerij;;;;Temse;9140;;Belgium;Moos;Onderzoek;;;;;;;;;;;;
Yes;Onderzoeker 5;;O5;Brouwerij;;;;Temse;9140;;Belgium;Moos;Onderzoek;;;;;;;;;;;;
Yes;Onderzoeker 6;;O6;Brouwerij;;;;Temse;9140;;Belgium;Moos;Onderzoek;;;;;;;;;;;;
Yes;Onderzoeker 7;;O7;Brouwerij;;;;Temse;9140;;Belgium;Moos;Onderzoek;;;;;;;;;;;;
Yes;Onderzoeker 8;;O8;Brouwerij;;;;Temse;9140;;Belgium;Moos;Onderzoek;;;;;;;;;;;;
Yes;Onderzoeker 9;;O9;Brouwerij;;;;Temse;9140;;Belgium;Moos;Onderzoek;;;;;;;;;;;;
